ParsedText,FollowersLog,LikesLog,RetweetsLog,Urgency,Credibility
israel exterminating human being north gaza jabaliya right world intervening stopping,9.935034668034257,4.382026634673881,3.2580965380214817,32,21
created wage war live peace ever since wzo first organised jewish immigration began 1919 third aliyah 1919 1923 immigrant understand semitic mentality palestinian lebanese would,11.969305462546497,4.356708826689592,3.1354942159291497,0,28
light israel invasion syria remember golan height occupied syrian land assad lack response hate break folk never axis resistance palestine always even darkest hour,8.185907481482324,3.8501476017100584,2.5649493574615367,2,14
hope israel stop playing nice get rid palestine already dragging im bored,8.994916943677111,2.772588722239781,0.6931471805599453,0,10
breaking hezbollah dominate israel hezbollah fighter targeted 03 45 sunday 10 13 2024 explosive device force enemy soldier clashed tried infiltrate town ramyeh killing wounding,13.311233445816047,6.218600119691729,4.787491742782046,31,63
breaking nbc report senior u official believe israel target iranian state facility oil infrastructure retaliatory strike,14.882901493118057,7.862497197230544,6.218600119691729,30,91
friend mine texted decided read israel palestine sympathizes zionist perspective wanted see could tell palestinian side learn anyone shorter format resouces 1,10.125550520230092,6.432940092739179,1.3862943611198906,1,34
america run world israel hold power arab muslim deceived arab muslim need wake israel continue slaughter palestine saudi arabia wake araaabs,9.090204570736201,2.8903717578961645,1.3862943611198906,2,18
palestine right free israel,12.089010599898007,8.37539918579835,6.933423025730715,0,15
israeli airstrikes target hezbollah asset town khiam southern lebanon,12.735196824866875,6.102558594613568,4.127134385045092,40,41
listening historian ilan papp shed light collective darkness wisdom leaning empathy everyone read work listen historically informed analysis israel amp palestine one year war gaza ilan papp tmr,10.456280115123425,5.272999558563747,4.110873864173311,0,14
let crystal fucking clear mass rape perpetrated one side one side last 7 decade palestine side israel rape rape rape men woman child fuck israel zionist still talking october 7,11.438255796633198,8.239065331769268,7.226936018493289,0,24
breaking n12 israel finalized decision regarding scale target retaliation iran,10.344094553889349,5.3706380281276624,3.6375861597263857,24,24
breaking u considering deploying 3 billion thaad air defense battery israel enhancing defense long range ballistic missile,14.882900805308585,8.163086375583214,6.364750756851911,41,92
breaking sir keir starmer condemned unifil soldier hit israel chemical weapon x,12.456718517043466,6.519147287940395,5.225746673713201,12,28
someone tldr palestine israel major news last day thanks,7.180069874302796,3.2188758248682006,0.0,0,2
interception haifa area tomorrow might harsh day hezbollah,7.983098940710892,3.295836866004329,1.3862943611198906,56,12
breaking bad day israel going worst day idf since october 7th reportedly 115 casualty hezbollah attack since morning drone struck base south haifa causing possibly 70 casualty alone idf eating,7.179307969504034,2.833213344056216,2.0794415416798357,69,4
breaking israel bombed father school al nusairat camp spent past 20 year teaching kid art killing 3 wounding others,9.539284342176604,6.356107660695891,5.934894195619588,14,18
breaking french president emmanuel macron discussed ceasefire hezbollah israel iran president masoud pezeshkian pezeshkian called macron work zionist regime macron recognize 10000 rocket support ceasefire,12.39254806308659,5.910796644040527,4.219507705176107,18,63
breaking biden administration planning send advanced antimissile system israel along american troop operate u official tell wall street journal,14.458755581319636,6.731018100482083,4.74493212836325,24,97
breaking united state military deployed personnel israel,10.455992403293607,2.6390573296152584,0.0,48,25
would surprised israel attack iran tonight,9.560926818574357,5.598421958998374,3.3672958299864737,15,9
breaking iran informed united state retaliate new attack israel,14.387066774402179,6.762729506931879,4.634728988229636,18,98
breaking u deploys military personnel israel,11.782135474532273,6.186208623900494,3.58351893845611,45,67
breaking news lebanese uav crashed binyamina israel wounding least 40 people 4 critically injured alarm activated helicopter evacuated wounded hospital developing story,10.080419612045644,3.828641396489095,2.995732273553991,51,31
snp expelled socially conservative mp believe israel committing genocide palestinian expelled absolutely zero msps incompetent governance scotland snp palestine first scotland last,8.735364401103888,2.772588722239781,0.6931471805599453,1,9
